Customer_ID,Age,Annual_Income,Orders_Count,Average_Order_Value,Total_Spending,Website_Visits,Cart_Abandonment
E001,24,30000,3,900,2700,25,8
E002,31,55000,10,2200,22000,45,4
E003,42,80000,15,3500,52500,60,2
E004,28,35000,4,1000,4000,30,10
E005,45,95000,12,4200,50400,55,3
E006,36,65000,8,1800,14400,40,5
E007,23,28000,2,700,1400,20,12
E008,39,72000,11,2800,30800,52,3
E009,52,100000,14,4500,63000,65,2
E010,29,42000,5,1200,6000,35,9
E011,47,85000,10,3200,32000,58,4
E012,34,60000,7,2000,14000,42,6
E013,26,32000,3,800,2400,28,11
E014,41,78000,9,3000,27000,50,4
E015,55,110000,16,4800,76800,70,1
E016,30,48000,6,1500,9000,38,7
E017,38,68000,8,2300,18400,46,5
E018,25,29000,2,650,1300,18,13
E019,44,82000,12,3100,37200,57,3
E020,50,92000,13,3800,49400,62,2
