Customer_ID,Age,Annual_Income,Visit_Frequency,Average_Bill,Total_Spending,Online_Orders,Recency_Days
R001,22,28000,2,500,1000,1,45
R002,35,55000,8,1200,9600,5,7
R003,42,80000,12,1800,21600,8,3
R004,29,35000,3,650,1950,1,60
R005,48,95000,10,2200,22000,7,5
R006,38,65000,7,1100,7700,4,12
R007,25,30000,2,450,900,0,75
R008,41,72000,9,1500,13500,6,8
R009,52,100000,13,2500,32500,9,4
R010,31,42000,4,700,2800,2,30
R011,45,85000,11,1900,20900,8,6
R012,34,60000,6,1000,6000,3,15
R013,27,32000,3,550,1650,1,50
R014,40,78000,8,1600,12800,5,10
R015,55,110000,14,2800,39200,10,2
R016,30,48000,5,800,4000,2,25
R017,37,68000,7,1300,9100,4,14
R018,24,29000,2,400,800,0,80
R019,44,82000,10,1700,17000,7,7
R020,50,92000,12,2100,25200,8,5
