Customer_ID,Age,Annual_Income,Purchase_Frequency,Average_Order_Value,Total_Spending,Recency_Days
C001,23,25000,2,800,1600,45
C002,35,55000,8,2500,20000,5
C003,42,75000,12,3500,42000,3
C004,28,30000,3,900,2700,60
C005,51,90000,10,4200,42000,7
C006,46,85000,2,1800,3600,90
C007,31,45000,6,1500,9000,15
C008,39,65000,9,2800,25200,8
C009,24,28000,2,700,1400,75
C010,55,95000,11,4500,49500,4
C011,29,40000,5,1200,6000,25
C012,48,80000,3,2000,6000,85
C013,36,60000,7,2200,15400,12
C014,22,22000,1,600,600,120
C015,44,70000,10,3000,30000,6
C016,33,50000,6,1800,10800,20
C017,57,100000,2,1600,3200,95
C018,27,32000,4,1000,4000,30
C019,41,72000,8,2600,20800,10
C020,50,88000,9,3200,28800,9
